# https://store.tmotor.com/product/u15l-manned-aircraft-combo.html
# Type: U15L KV43
# Propeller: 47*18"

RPM,Thrust [g],Torque [Nm],Thrust [N],Moment Constant [m]
1239,9563,5.22,93.78099395,0.055661598
1413,11668,6.3,114.4239922,0.055058383
1566,14955,8.06,146.6584508,0.054957624
1809,20009,10.77,196.2212599,0.054887019
2019,24767,13.33,242.8813006,0.054882776
2193,28438,15.34,278.8815127,0.055005439
2313,31314,16.94,307.0854381,0.055163801
2469,36747,19.95,360.3649676,0.055360542
2580,38966,21.22,382.1259239,0.055531433
2799,48025,26.26,470.9643663,0.055757934
2913,50683,27.84,497.030442,0.056012666
2973,53225,29.28,521.9589463,0.056096366
3060,56197,30.9,551.1043101,0.05606924
3156,60146,33.17,589.8307709,0.056236469
3210,63383,35.04,621.574897,0.056372933
